Bus Voltage,Power,Current
4.50 V,704.00 mW,156.70 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,702.00 mW,157.20 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,702.00 mW,155.60 mA
4.50 V,698.00 mW,155.90 mA
4.50 V,698.00 mW,155.20 mA
4.50 V,698.00 mW,156.50 mA
4.61 V,358.00 mW,138.90 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,704.00 mW,155.80 mA
4.50 V,702.00 mW,157.10 mA
4.50 V,704.00 mW,155.80 mA
4.50 V,698.00 mW,156.90 mA
4.50 V,698.00 mW,155.20 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,698.00 mW,156.60 mA
4.50 V,704.00 mW,156.00 mA
4.50 V,702.00 mW,156.70 mA
4.50 V,704.00 mW,155.50 mA
4.65 V,334.00 mW,133.80 mA
4.50 V,704.00 mW,155.60 mA
4.50 V,702.00 mW,156.40 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,708.00 mW,156.10 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,704.00 mW,155.50 mA
4.50 V,702.00 mW,156.60 mA
4.50 V,704.00 mW,155.30 mA
4.50 V,698.00 mW,156.70 mA
4.80 V,340.00 mW,124.40 mA
4.50 V,702.00 mW,156.40 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,698.00 mW,156.30 mA
4.51 V,704.00 mW,155.70 mA
4.50 V,704.00 mW,157.00 mA
4.50 V,704.00 mW,156.20 mA
4.50 V,702.00 mW,156.50 mA
4.50 V,704.00 mW,155.50 mA
4.50 V,698.00 mW,156.40 mA
4.50 V,698.00 mW,155.40 mA
4.50 V,698.00 mW,155.70 mA
4.50 V,702.00 mW,155.10 mA
4.81 V,340.00 mW,88.80 mA
4.50 V,708.00 mW,156.30 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,708.00 mW,155.80 mA
4.50 V,702.00 mW,156.70 mA
4.50 V,708.00 mW,155.60 mA
4.50 V,698.00 mW,155.50 mA
4.49 V,704.00 mW,155.60 mA
4.50 V,698.00 mW,155.30 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,698.00 mW,156.00 mA
4.50 V,704.00 mW,155.70 mA
4.50 V,702.00 mW,156.00 mA
4.81 V,348.00 mW,70.60 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,708.00 mW,155.90 mA
4.50 V,698.00 mW,155.10 mA
4.50 V,698.00 mW,156.10 mA
4.50 V,698.00 mW,155.50 mA
4.49 V,702.00 mW,156.10 mA
4.50 V,698.00 mW,156.20 mA
4.49 V,702.00 mW,157.10 mA
4.50 V,702.00 mW,156.50 mA
4.49 V,702.00 mW,156.90 mA
4.50 V,702.00 mW,156.70 mA
4.49 V,702.00 mW,156.20 mA
4.81 V,348.00 mW,70.40 mA
4.50 V,702.00 mW,156.20 mA
4.49 V,702.00 mW,155.90 mA
4.50 V,698.00 mW,156.20 mA
4.50 V,698.00 mW,155.60 mA
4.50 V,702.00 mW,156.50 mA
4.50 V,704.00 mW,156.20 mA
4.50 V,704.00 mW,157.70 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,698.00 mW,155.40 mA
4.50 V,698.00 mW,157.00 mA
4.50 V,698.00 mW,155.00 mA
4.82 V,354.00 mW,72.90 mA
4.49 V,704.00 mW,155.70 mA
4.50 V,698.00 mW,156.00 mA
4.50 V,704.00 mW,155.90 mA
4.50 V,702.00 mW,156.40 mA
4.50 V,708.00 mW,156.00 mA
4.50 V,702.00 mW,155.20 mA
4.50 V,704.00 mW,155.20 mA
4.50 V,698.00 mW,156.20 mA
4.50 V,704.00 mW,155.40 mA
4.50 V,698.00 mW,155.60 mA
4.50 V,704.00 mW,155.40 mA
4.50 V,702.00 mW,156.20 mA
4.80 V,594.00 mW,75.30 mA
4.50 V,702.00 mW,155.80 mA
4.49 V,704.00 mW,155.70 mA
4.50 V,704.00 mW,155.80 mA
4.50 V,704.00 mW,155.40 mA
4.50 V,694.00 mW,155.20 mA
4.49 V,704.00 mW,155.30 mA
4.50 V,702.00 mW,155.70 mA
4.49 V,702.00 mW,156.10 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,704.00 mW,155.90 mA
4.50 V,702.00 mW,156.20 mA
4.50 V,704.00 mW,156.20 mA
4.63 V,694.00 mW,109.70 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,698.00 mW,155.90 mA
4.49 V,698.00 mW,156.20 mA
4.50 V,698.00 mW,155.60 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,702.00 mW,156.10 mA
4.49 V,694.00 mW,157.00 mA
4.50 V,704.00 mW,156.10 mA
4.50 V,704.00 mW,157.20 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,698.00 mW,155.60 mA
4.50 V,698.00 mW,155.50 mA
4.52 V,698.00 mW,113.20 mA
4.50 V,698.00 mW,155.50 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,704.00 mW,156.20 mA
4.50 V,702.00 mW,156.50 mA
4.50 V,704.00 mW,156.40 mA
4.51 V,684.00 mW,155.50 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,698.00 mW,155.70 mA
4.50 V,698.00 mW,156.10 mA
4.50 V,698.00 mW,155.30 mA
4.50 V,702.00 mW,156.50 mA
4.51 V,702.00 mW,146.10 mA
4.50 V,702.00 mW,156.70 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,704.00 mW,156.80 mA
4.50 V,702.00 mW,154.70 mA
4.50 V,698.00 mW,156.30 mA
4.50 V,702.00 mW,155.50 mA
4.50 V,586.00 mW,155.90 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,698.00 mW,156.10 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,708.00 mW,156.60 mA
4.50 V,704.00 mW,156.00 mA
4.50 V,702.00 mW,150.80 mA
4.50 V,702.00 mW,155.20 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,698.00 mW,156.00 mA
4.50 V,698.00 mW,155.50 mA
4.50 V,702.00 mW,156.90 mA
4.52 V,548.00 mW,155.10 mA
4.50 V,702.00 mW,156.60 mA
4.50 V,702.00 mW,156.20 mA
4.49 V,702.00 mW,156.60 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,698.00 mW,156.60 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,702.00 mW,156.50 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,702.00 mW,157.10 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,702.00 mW,156.40 mA
4.50 V,704.00 mW,156.30 mA
4.62 V,518.00 mW,153.60 mA
4.50 V,698.00 mW,155.40 mA
4.50 V,704.00 mW,156.20 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,702.00 mW,156.20 mA
4.51 V,702.00 mW,155.70 mA
4.50 V,704.00 mW,156.60 mA
4.51 V,704.00 mW,155.70 mA
4.51 V,704.00 mW,157.70 mA
4.51 V,702.00 mW,155.90 mA
4.50 V,704.00 mW,156.10 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,698.00 mW,156.90 mA
4.65 V,330.00 mW,132.80 mA
4.50 V,704.00 mW,156.00 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,702.00 mW,157.50 mA
4.51 V,702.00 mW,155.70 mA
4.50 V,702.00 mW,157.00 mA
4.51 V,704.00 mW,156.10 mA
4.50 V,702.00 mW,156.30 mA
4.51 V,702.00 mW,155.80 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,702.00 mW,156.40 mA
4.51 V,702.00 mW,156.10 mA
4.81 V,344.00 mW,125.70 mA
4.51 V,702.00 mW,156.10 mA
4.50 V,702.00 mW,157.30 mA
4.51 V,702.00 mW,155.40 mA
4.50 V,704.00 mW,156.30 mA
4.51 V,702.00 mW,155.90 mA
4.50 V,702.00 mW,157.20 mA
4.51 V,698.00 mW,155.20 mA
4.50 V,698.00 mW,156.90 mA
4.51 V,702.00 mW,156.40 mA
4.50 V,702.00 mW,157.40 mA
4.51 V,702.00 mW,156.30 mA
4.50 V,704.00 mW,157.00 mA
4.81 V,340.00 mW,88.50 mA
4.50 V,704.00 mW,155.20 mA
4.50 V,704.00 mW,155.20 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,704.00 mW,155.20 mA
4.50 V,698.00 mW,156.30 mA
4.50 V,704.00 mW,155.70 mA
4.50 V,704.00 mW,157.20 mA
4.50 V,704.00 mW,156.30 mA
4.51 V,704.00 mW,156.30 mA
4.51 V,704.00 mW,155.50 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,702.00 mW,155.20 mA
4.82 V,338.00 mW,70.80 mA
4.50 V,704.00 mW,155.50 mA
4.50 V,702.00 mW,155.80 mA
4.51 V,708.00 mW,155.80 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,708.00 mW,155.80 mA
4.50 V,704.00 mW,156.00 mA
4.51 V,708.00 mW,156.20 mA
4.51 V,702.00 mW,155.30 mA
4.50 V,704.00 mW,155.60 mA
4.50 V,702.00 mW,155.60 mA
4.50 V,702.00 mW,155.50 mA
4.50 V,698.00 mW,155.80 mA
4.81 V,354.00 mW,70.60 mA
4.50 V,704.00 mW,156.20 mA
4.50 V,702.00 mW,156.30 mA
4.51 V,702.00 mW,155.90 mA
4.50 V,708.00 mW,156.40 mA
4.51 V,702.00 mW,155.60 mA
4.50 V,702.00 mW,156.00 mA
4.51 V,702.00 mW,155.40 mA
4.50 V,702.00 mW,156.30 mA
4.51 V,702.00 mW,155.70 mA
4.51 V,702.00 mW,156.50 mA
4.51 V,704.00 mW,155.80 mA
4.51 V,704.00 mW,156.70 mA
4.80 V,358.00 mW,72.60 mA
4.50 V,702.00 mW,157.10 mA
4.51 V,704.00 mW,154.80 mA
4.50 V,702.00 mW,156.30 mA
4.51 V,702.00 mW,155.80 mA
4.51 V,702.00 mW,156.50 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,702.00 mW,157.10 mA
4.51 V,704.00 mW,156.20 mA
4.51 V,702.00 mW,156.20 mA
4.51 V,704.00 mW,156.00 mA
4.50 V,704.00 mW,157.40 mA
4.51 V,704.00 mW,155.40 mA
4.80 V,502.00 mW,69.40 mA
4.51 V,704.00 mW,155.50 mA
4.50 V,702.00 mW,156.10 mA
4.51 V,704.00 mW,155.30 mA
4.50 V,702.00 mW,156.00 mA
4.51 V,708.00 mW,156.00 mA
4.51 V,704.00 mW,156.30 mA
4.50 V,712.00 mW,156.10 mA
4.51 V,704.00 mW,155.90 mA
4.51 V,704.00 mW,155.10 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,708.00 mW,155.50 mA
4.50 V,698.00 mW,154.90 mA
4.64 V,694.00 mW,109.70 mA
4.50 V,702.00 mW,156.20 mA
4.50 V,708.00 mW,155.90 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,708.00 mW,155.90 mA
4.50 V,704.00 mW,156.20 mA
4.50 V,712.00 mW,155.70 mA
4.50 V,694.00 mW,155.30 mA
4.50 V,704.00 mW,154.90 mA
4.50 V,702.00 mW,155.50 mA
4.50 V,702.00 mW,155.40 mA
4.51 V,702.00 mW,155.90 mA
4.50 V,708.00 mW,156.00 mA
4.53 V,702.00 mW,113.40 mA
4.51 V,708.00 mW,155.90 mA
4.50 V,702.00 mW,155.50 mA
4.50 V,704.00 mW,155.10 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,704.00 mW,155.70 mA
4.51 V,698.00 mW,155.60 mA
4.50 V,692.00 mW,155.70 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,708.00 mW,155.70 mA
4.51 V,702.00 mW,156.30 mA
4.50 V,708.00 mW,155.50 mA
4.50 V,704.00 mW,156.30 mA
4.51 V,704.00 mW,144.50 mA
4.50 V,698.00 mW,155.40 mA
4.50 V,704.00 mW,155.20 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,704.00 mW,155.60 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,708.00 mW,156.00 mA
4.51 V,678.00 mW,156.70 mA
4.50 V,708.00 mW,156.20 mA
4.50 V,702.00 mW,155.50 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,708.00 mW,155.30 mA
4.50 V,698.00 mW,149.00 mA
4.50 V,704.00 mW,156.00 mA
4.51 V,704.00 mW,156.10 mA
4.51 V,708.00 mW,156.30 mA
4.51 V,702.00 mW,156.00 mA
4.50 V,708.00 mW,156.20 mA
4.50 V,702.00 mW,155.60 mA
4.52 V,566.00 mW,155.20 mA
4.50 V,702.00 mW,155.10 mA
4.50 V,704.00 mW,155.20 mA
4.50 V,698.00 mW,155.40 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,708.00 mW,156.60 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,704.00 mW,155.70 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,704.00 mW,155.40 mA
4.50 V,698.00 mW,155.80 mA
4.50 V,708.00 mW,155.20 mA
4.61 V,524.00 mW,153.40 mA
4.50 V,708.00 mW,156.10 mA
4.50 V,704.00 mW,155.70 mA
4.50 V,708.00 mW,155.90 mA
4.50 V,702.00 mW,155.70 mA
4.51 V,708.00 mW,155.80 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,704.00 mW,155.60 mA
4.50 V,698.00 mW,155.60 mA
4.50 V,704.00 mW,155.10 mA
4.50 V,702.00 mW,155.60 mA
4.50 V,704.00 mW,155.90 mA
4.51 V,702.00 mW,155.90 mA
4.64 V,338.00 mW,135.90 mA
4.50 V,704.00 mW,157.00 mA
4.50 V,704.00 mW,156.50 mA
4.51 V,702.00 mW,154.90 mA
4.50 V,704.00 mW,155.20 mA
